subject	session	freesurfer_found	aseg_found	lh_aparc_found	rh_aparc_found	status	reason
sub-001	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-001	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-002	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-002	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-003	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-003	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-004	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-004	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-005	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-005	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-006	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-006	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-007	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-007	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-008	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-008	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-009	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-009	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-010	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-011	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-011	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-012	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-012	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-013	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-014	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-015	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-015	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-016	ses-01	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
sub-016	ses-02	TRUE	TRUE	TRUE	TRUE	OK	FreeSurfer 7.4.1 recon-all complete; aseg and aparc present
