file	variable	exists	type	sample_value	timing_relevance
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	comment	YES	ndarray	['050']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	resultdir	YES	ndarray	['./Results']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	run_id	YES	ndarray	[[1]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	t	YES	ndarray	['May-05-2023_ 3-10-18_PM']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	x	YES	ndarray	[[array(['050'], dtype='<U3')]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	y	YES	ndarray	[[array(['1'], dtype='<U1')]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	triggerTimes	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	vbl	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	frameTimes	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	onset	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-10-18_PM_Subject_is_XXX_selected_run_id_1.mat	timestamps	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	comment	YES	ndarray	['050']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	resultdir	YES	ndarray	['./Results']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	run_id	YES	ndarray	[[2]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	t	YES	ndarray	['May-05-2023_ 3-14-38_PM']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	x	YES	ndarray	[[array(['050'], dtype='<U3')]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	y	YES	ndarray	[[array(['2'], dtype='<U1')]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	triggerTimes	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	vbl	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	frameTimes	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	onset	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-14-38_PM_Subject_is_XXX_selected_run_id_2.mat	timestamps	NO			ABSENT
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	answer	YES	ndarray	['Yes']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	change_eye	YES	ndarray	[[0]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	comment	YES	ndarray	['050']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	resultdir	YES	ndarray	['./Results']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	run_id	YES	ndarray	[[3]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	t	YES	ndarray	['May-05-2023_ 3-18-37_PM']	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	x	YES	ndarray	[[array(['050'], dtype='<U3')]]	IDENTITY_ONLY
session#88b9bb5688f1/Results/May-05-2023_ 3-18-37_PM_Subject_is_XXX_selected_run_id_3.mat	y	YES	ndarray	[[array(['3'], dtype='<U1')]]	IDENTITY_ONLY
