participant_id	session_id	run	fmri_number	bold_destination	events_tsv_source	events_destination_name	confidence	reason	volume_count	matlab_trigger_count
sub-002	ses-01	09	1	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_bold.nii.gz	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-002_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	sub-002_ses-01_task-fmri_run-09_events.tsv	HIGH	REDO_COMPLETE_ACQUISITION	226	226
sub-011	ses-01	07	1	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_bold.nii.gz		sub-011_ses-01_task-fmri_run-07_events.tsv	HIGH	UNIQUE_PROTOCOL_MATCH	226	226
sub-011	ses-01	05	4	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_bold.nii.gz		sub-011_ses-01_task-fmri_run-05_events.tsv	HIGH	REDO_COMPLETE_ACQUISITION	226	226
sub-012	ses-01	03	4	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_bold.nii.gz		sub-012_ses-01_task-fmri_run-03_events.tsv	HIGH	SERIESNUMBER_EXACT_MATCH	226	226
sub-016	ses-02	09	1	/home/alexrees/scratch/bids/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_bold.nii.gz	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-016_ses-02_task-fmri_run-01_desc-matlabFMRI1_events.tsv	sub-016_ses-02_task-fmri_run-09_events.tsv	HIGH	REDO_COMPLETE_ACQUISITION	226	226
sub-020	ses-01	05	1	/home/alexrees/scratch/bids/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_bold.nii.gz		sub-020_ses-01_task-fmri_run-05_events.tsv	HIGH	UNIQUE_PROTOCOL_MATCH	226	226
sub-023	ses-01	09	1	/home/alexrees/scratch/bids/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_bold.nii.gz	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-023_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	sub-023_ses-01_task-fmri_run-09_events.tsv	HIGH	DUPLICATE_RESOLVED_BY_VOLUME_COUNT	226	226
sub-024	ses-02	07	1	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-07_bold.nii.gz		sub-024_ses-02_task-fmri_run-07_events.tsv	HIGH	SERIESNUMBER_EXACT_MATCH	226	226
sub-024	ses-02	11	2	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-11_bold.nii.gz		sub-024_ses-02_task-fmri_run-11_events.tsv	HIGH	SERIESNUMBER_EXACT_MATCH	226	226
sub-025	ses-01	09	1	/home/alexrees/scratch/bids/sub-025/ses-01/func/sub-025_ses-01_task-fmri_run-09_bold.nii.gz	/home/alexrees/scratch/tmp_processing/events_validation/all_events/sub-025_ses-01_task-fmri_run-01_desc-matlabFMRI1_events.tsv	sub-025_ses-01_task-fmri_run-09_events.tsv	HIGH	DUPLICATE_RESOLVED_BY_VOLUME_COUNT	226	226
sub-038	ses-02	04	3	/home/alexrees/scratch/bids/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-04_bold.nii.gz		sub-038_ses-02_task-fmri_run-04_events.tsv	HIGH	REDO_COMPLETE_ACQUISITION	226	226
sub-040	ses-01	07	1	/home/alexrees/scratch/bids/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-07_bold.nii.gz		sub-040_ses-01_task-fmri_run-07_events.tsv	HIGH	SERIESNUMBER_EXACT_MATCH	226	226
sub-040	ses-01	09	1	/home/alexrees/scratch/bids/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-09_bold.nii.gz		sub-040_ses-01_task-fmri_run-09_events.tsv	HIGH	SERIESNUMBER_EXACT_MATCH	226	226
sub-041	ses-01	09	1	/home/alexrees/scratch/bids/sub-041/ses-01/func/sub-041_ses-01_task-fmri_run-09_bold.nii.gz		sub-041_ses-01_task-fmri_run-09_events.tsv	HIGH	REDO_COMPLETE_ACQUISITION	226	226
sub-043	ses-02	12	2	/home/alexrees/scratch/bids/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-12_bold.nii.gz		sub-043_ses-02_task-fmri_run-12_events.tsv	HIGH	SERIESNUMBER_EXACT_MATCH	226	226
