scan_id	subject	session	run	nifti	n_volumes	n_bvals	n_bvec_columns	status
sub-001_ses-01_run-01_dwi	sub-001	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-001/ses-01/dwi/sub-001_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-001_ses-01_run-02_dwi	sub-001	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-001/ses-01/dwi/sub-001_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-001_ses-01_run-05_dwi	sub-001	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-001/ses-01/dwi/sub-001_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-001_ses-02_run-01_dwi	sub-001	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-001/ses-02/dwi/sub-001_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-001_ses-02_run-02_dwi	sub-001	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-001/ses-02/dwi/sub-001_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-001_ses-02_run-05_dwi	sub-001	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-001/ses-02/dwi/sub-001_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-002_ses-01_run-01_dwi	sub-002	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-002/ses-01/dwi/sub-002_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-002_ses-01_run-02_dwi	sub-002	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-002/ses-01/dwi/sub-002_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-002_ses-01_run-05_dwi	sub-002	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-002/ses-01/dwi/sub-002_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-002_ses-02_run-01_dwi	sub-002	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-002/ses-02/dwi/sub-002_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-002_ses-02_run-02_dwi	sub-002	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-002/ses-02/dwi/sub-002_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-002_ses-02_run-05_dwi	sub-002	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-002/ses-02/dwi/sub-002_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-003_ses-01_run-01_dwi	sub-003	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-003/ses-01/dwi/sub-003_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-003_ses-01_run-02_dwi	sub-003	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-003/ses-01/dwi/sub-003_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-003_ses-01_run-05_dwi	sub-003	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-003/ses-01/dwi/sub-003_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-003_ses-02_run-01_dwi	sub-003	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-003/ses-02/dwi/sub-003_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-003_ses-02_run-02_dwi	sub-003	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-003/ses-02/dwi/sub-003_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-003_ses-02_run-05_dwi	sub-003	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-003/ses-02/dwi/sub-003_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-004_ses-01_run-01_dwi	sub-004	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-004/ses-01/dwi/sub-004_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-004_ses-01_run-02_dwi	sub-004	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-004/ses-01/dwi/sub-004_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-004_ses-01_run-05_dwi	sub-004	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-004/ses-01/dwi/sub-004_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-004_ses-02_run-01_dwi	sub-004	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-004/ses-02/dwi/sub-004_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-004_ses-02_run-02_dwi	sub-004	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-004/ses-02/dwi/sub-004_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-004_ses-02_run-05_dwi	sub-004	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-004/ses-02/dwi/sub-004_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-005_ses-01_run-01_dwi	sub-005	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-005/ses-01/dwi/sub-005_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-005_ses-01_run-02_dwi	sub-005	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-005/ses-01/dwi/sub-005_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-005_ses-01_run-05_dwi	sub-005	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-005/ses-01/dwi/sub-005_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-005_ses-02_run-01_dwi	sub-005	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-005/ses-02/dwi/sub-005_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-005_ses-02_run-02_dwi	sub-005	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-005/ses-02/dwi/sub-005_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-005_ses-02_run-05_dwi	sub-005	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-005/ses-02/dwi/sub-005_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-006_ses-01_run-01_dwi	sub-006	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-006/ses-01/dwi/sub-006_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-006_ses-01_run-02_dwi	sub-006	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-006/ses-01/dwi/sub-006_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-006_ses-01_run-05_dwi	sub-006	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-006/ses-01/dwi/sub-006_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-006_ses-02_run-01_dwi	sub-006	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-006/ses-02/dwi/sub-006_ses-02_run-01_dwi.nii.gz	290.0	290.0	290.0	PASS
sub-006_ses-02_run-02_dwi	sub-006	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-006/ses-02/dwi/sub-006_ses-02_run-02_dwi.nii.gz	290.0	290.0	290.0	PASS
sub-006_ses-02_run-05_dwi	sub-006	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-006/ses-02/dwi/sub-006_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-007_ses-01_run-01_dwi	sub-007	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-007/ses-01/dwi/sub-007_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-007_ses-01_run-02_dwi	sub-007	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-007/ses-01/dwi/sub-007_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-007_ses-01_run-05_dwi	sub-007	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-007/ses-01/dwi/sub-007_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-007_ses-02_run-01_dwi	sub-007	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-007/ses-02/dwi/sub-007_ses-02_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-007_ses-02_run-02_dwi	sub-007	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-007/ses-02/dwi/sub-007_ses-02_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-007_ses-02_run-05_dwi	sub-007	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-007/ses-02/dwi/sub-007_ses-02_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-008_ses-01_run-01_dwi	sub-008	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-008/ses-01/dwi/sub-008_ses-01_run-01_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-008_ses-01_run-02_dwi	sub-008	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-008/ses-01/dwi/sub-008_ses-01_run-02_dwi.nii.gz	385.0	385.0	385.0	PASS
sub-008_ses-01_run-05_dwi	sub-008	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-008/ses-01/dwi/sub-008_ses-01_run-05_dwi.nii.gz	15.0	15.0	15.0	PASS
sub-008_ses-02_run-03_dwi	sub-008	ses-02	run-03	/lustre07/scratch/alexrees/bids/sub-008/ses-02/dwi/sub-008_ses-02_run-03_dwi.nii.gz	15.0	15.0	15.0	PASS
