subject	session	expected_t1w	mriqc_t1w	t1w_complete	expected_bold	mriqc_bold	bold_complete	session_complete	status	n_missing_t1w	n_missing_bold
sub-001	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-001	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-002	ses-01	3	3	True	13	12	False	False	PARTIAL	0	1
sub-002	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-003	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-003	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-004	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-004	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-005	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-005	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-006	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-006	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-007	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-007	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-008	ses-01	3	3	True	14	14	True	True	COMPLETE_BOTH	0	0
sub-008	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-009	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-009	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-010	ses-01	3	3	True	10	10	True	True	COMPLETE_BOTH	0	0
sub-011	ses-01	3	3	True	13	12	False	False	PARTIAL	0	1
sub-011	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-012	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-012	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-013	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-014	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-015	ses-01	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-015	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-016	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-016	ses-02	3	3	True	13	13	True	True	COMPLETE_BOTH	0	0
sub-017	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-017	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-018	ses-01	2	2	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-019	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-019	ses-02	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-020	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
sub-021	ses-01	3	3	True	12	12	True	True	COMPLETE_BOTH	0	0
