subject	session	task	run	part	bold	events_expected	events_exists
sub-042	ses-01	movie	07	mag	/home/alexrees/scratch/bids/sub-042/ses-01/func/sub-042_ses-01_task-movie_run-07_bold.nii.gz	sub-042_ses-01_task-movie_run-07_events.tsv	False
sub-042	ses-01	control	03	mag	/home/alexrees/scratch/bids/sub-042/ses-01/func/sub-042_ses-01_task-control_run-03_bold.nii.gz	sub-042_ses-01_task-control_run-03_events.tsv	False
sub-042	ses-01	control	01	mag	/home/alexrees/scratch/bids/sub-042/ses-01/func/sub-042_ses-01_task-control_run-01_bold.nii.gz	sub-042_ses-01_task-control_run-01_events.tsv	False
sub-042	ses-01	movie	05	mag	/home/alexrees/scratch/bids/sub-042/ses-01/func/sub-042_ses-01_task-movie_run-05_bold.nii.gz	sub-042_ses-01_task-movie_run-05_events.tsv	False
sub-042	ses-01	movie	03	mag	/home/alexrees/scratch/bids/sub-042/ses-01/func/sub-042_ses-01_task-movie_run-03_bold.nii.gz	sub-042_ses-01_task-movie_run-03_events.tsv	False
sub-042	ses-01	control	05	mag	/home/alexrees/scratch/bids/sub-042/ses-01/func/sub-042_ses-01_task-control_run-05_bold.nii.gz	sub-042_ses-01_task-control_run-05_events.tsv	False
sub-042	ses-01	rest	01	mag	/home/alexrees/scratch/bids/sub-042/ses-01/func/sub-042_ses-01_task-rest_run-01_bold.nii.gz	sub-042_ses-01_task-rest_run-01_events.tsv	False
sub-042	ses-01	movie	01	mag	/home/alexrees/scratch/bids/sub-042/ses-01/func/sub-042_ses-01_task-movie_run-01_bold.nii.gz	sub-042_ses-01_task-movie_run-01_events.tsv	False
sub-035	ses-02	movie	03	mag	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-movie_run-03_bold.nii.gz	sub-035_ses-02_task-movie_run-03_events.tsv	False
sub-035	ses-02	movie	01	mag	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-movie_run-01_bold.nii.gz	sub-035_ses-02_task-movie_run-01_events.tsv	False
sub-035	ses-02	movie	07	mag	/home/alexrees/scratch/bids/sub-035/ses-02/func/sub-035_ses-02_task-movie_run-07_bold.nii.gz	sub-035_ses-02_task-movie_run-07_events.tsv	False
