participant_label	session_id	n_t1w	n_flair	n_tb1tfl	n_anat_target
sub-001	1	3	1	2	6
sub-001	2	3	1	2	6
sub-002	1	3	1	2	6
sub-002	2	3	1	2	6
sub-003	1	3	1	2	6
sub-003	2	3	1	2	6
sub-004	1	3	1	2	6
sub-004	2	3	1	2	6
sub-005	1	3	1	2	6
sub-005	2	3	1	2	6
sub-006	1	3	1	2	6
sub-006	2	3	1	2	6
sub-007	1	3	1	2	6
sub-007	2	3	1	2	6
sub-008	1	3	1	2	6
sub-008	2	3	1	0	4
sub-009	1	3	1	2	6
sub-009	2	3	1	2	6
sub-010	1	3	1	2	6
sub-011	1	3	1	2	6
sub-011	2	3	1	2	6
sub-012	1	3	1	2	6
sub-012	2	3	1	2	6
sub-013	1	3	1	2	6
sub-014	1	3	1	2	6
sub-015	1	3	1	2	6
sub-015	2	3	1	2	6
sub-016	1	3	1	2	6
sub-016	2	3	1	2	6
sub-017	1	3	1	2	6
sub-017	2	3	1	2	6
sub-018	1	2	0	2	4
sub-019	1	3	1	2	6
sub-019	2	3	1	2	6
sub-020	1	3	1	2	6
sub-021	1	3	1	2	6
sub-021	2	3	1	2	6
sub-022	1	2	1	2	5
sub-022	2	3	1	2	6
sub-023	1	3	1	2	6
sub-023	2	3	1	2	6
sub-024	1	1	0	0	1
sub-024	2	3	1	2	6
sub-025	1	3	1	2	6
sub-025	2	3	1	2	6
sub-026	1	3	1	2	6
sub-026	2	3	1	2	6
sub-027	1	3	1	2	6
sub-027	2	3	1	2	6
sub-028	1	3	1	2	6
sub-028	2	3	1	2	6
sub-029	1	3	1	2	6
sub-029	2	3	1	2	6
sub-030	1	3	1	2	6
sub-030	2	3	1	2	6
sub-031	1	3	1	2	6
sub-031	2	3	1	2	6
sub-032	1	3	1	2	6
sub-033	1	2	0	0	2
sub-034	1	3	1	2	6
sub-034	2	3	1	2	6
sub-035	1	3	1	2	6
sub-035	2	3	1	2	6
sub-036	1	3	1	2	6
sub-036	2	3	1	2	6
sub-037	1	3	1	2	6
sub-038	1	3	1	2	6
sub-038	2	3	1	2	6
sub-039	1	3	1	2	6
sub-039	2	3	1	2	6
sub-040	1	3	1	2	6
sub-040	2	3	1	2	6
sub-041	1	3	1	2	6
sub-041	2	3	1	2	6
sub-042	1	3	1	2	6
sub-043	2	6	2	4	12
sub-044	1	3	1	2	6
sub-044	2	3	1	2	6
sub-045	1	2	1	2	5
sub-046	1	3	1	2	6
sub-046	2	3	1	2	6
sub-047	1	3	1	2	6
sub-047	2	3	1	2	6
sub-048	1	3	1	2	6
sub-048	2	3	1	2	6
sub-049	1	3	1	2	6
sub-050	1	3	1	2	6
sub-051	1	3	1	2	6
sub-052	1	2	1	2	5
sub-052	2	3	1	2	6
sub-053	1	3	1	2	6
sub-054	1	2	1	2	5
sub-054	2	3	2	4	9
sub-056	1	2	2	4	8
sub-057	1	3	1	2	6
sub-057	2	3	1	2	6
sub-058	1	3	1	2	6
sub-059	1	3	1	2	6
sub-060	1	3	1	2	6
sub-061	1	2	2	4	8
sub-062	1	3	2	4	9
sub-063	1	2	2	4	8
sub-064	1	3	1	2	6
sub-064	2	2	1	2	5
sub-065	1	3	1	2	6
sub-066	1	3	1	2	6
sub-066	2	3	1	2	6
sub-067	1	3	1	2	6
sub-067	2	3	1	2	6
sub-068	1	3	1	2	6
sub-068	2	3	1	2	6
sub-069	1	3	1	2	6
sub-069	2	3	1	2	6
sub-070	1	2	0	0	2
sub-071	1	3	1	2	6
sub-072	1	3	1	2	6
sub-072	2	3	1	2	6
sub-073	1	3	1	2	6
sub-073	2	3	1	2	6
sub-074	1	3	1	2	6
sub-074	2	3	1	2	6
sub-075	1	3	1	2	6
sub-076	1	2	2	2	6
sub-077	1	3	1	2	6
sub-078	1	3	1	2	6
sub-079	1	3	1	2	6
sub-080	1	3	1	2	6
sub-081	1	3	1	2	6
sub-081	2	3	2	4	9
sub-082	1	3	1	2	6
sub-083	1	3	1	2	6
sub-084	1	3	1	2	6
