image_identifier	subject	session	run	filename	image_path	model_estimated_artifact_probability	model_confidence	model_uncertainty	n_mc_runs	n_artifact_votes	model	inference_date
sub-001_ses-01_run-01_T1w.nii.gz	sub-001	ses-01	01	sub-001_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.nii.gz	0.0	100.0	0.0	10	0	Pizarro2023-FINAL	2026-07-22
sub-001_ses-01_run-02_T1w.nii.gz	sub-001	ses-01	02	sub-001_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.nii.gz	10.0	90.0	0.468996	10	1	Pizarro2023-FINAL	2026-07-22
sub-001_ses-01_run-03_T1w.nii.gz	sub-001	ses-01	03	sub-001_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-001_ses-02_run-01_T1w.nii.gz	sub-001	ses-02	01	sub-001_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
sub-001_ses-02_run-02_T1w.nii.gz	sub-001	ses-02	02	sub-001_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.nii.gz	0.0	100.0	0.0	10	0	Pizarro2023-FINAL	2026-07-22
sub-001_ses-02_run-03_T1w.nii.gz	sub-001	ses-02	03	sub-001_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-002_ses-01_run-01_T1w.nii.gz	sub-002	ses-01	01	sub-002_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-01_T1w.nii.gz	70.0	70.0	0.881291	10	7	Pizarro2023-FINAL	2026-07-22
sub-002_ses-01_run-02_T1w.nii.gz	sub-002	ses-01	02	sub-002_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-02_T1w.nii.gz	10.0	90.0	0.468996	10	1	Pizarro2023-FINAL	2026-07-22
sub-002_ses-01_run-03_T1w.nii.gz	sub-002	ses-01	03	sub-002_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-002_ses-02_run-01_T1w.nii.gz	sub-002	ses-02	01	sub-002_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-01_T1w.nii.gz	90.0	90.0	0.468996	10	9	Pizarro2023-FINAL	2026-07-22
sub-002_ses-02_run-02_T1w.nii.gz	sub-002	ses-02	02	sub-002_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-02_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
sub-002_ses-02_run-03_T1w.nii.gz	sub-002	ses-02	03	sub-002_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-003_ses-01_run-01_T1w.nii.gz	sub-003	ses-01	01	sub-003_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-01_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
sub-003_ses-01_run-02_T1w.nii.gz	sub-003	ses-01	02	sub-003_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-02_T1w.nii.gz	60.0	60.0	0.970951	10	6	Pizarro2023-FINAL	2026-07-22
sub-003_ses-01_run-03_T1w.nii.gz	sub-003	ses-01	03	sub-003_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-003_ses-02_run-01_T1w.nii.gz	sub-003	ses-02	01	sub-003_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-01_T1w.nii.gz	60.0	60.0	0.970951	10	6	Pizarro2023-FINAL	2026-07-22
sub-003_ses-02_run-02_T1w.nii.gz	sub-003	ses-02	02	sub-003_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-02_T1w.nii.gz	50.0	50.0	1.0	10	5	Pizarro2023-FINAL	2026-07-22
sub-003_ses-02_run-03_T1w.nii.gz	sub-003	ses-02	03	sub-003_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-004_ses-01_run-01_T1w.nii.gz	sub-004	ses-01	01	sub-004_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-01_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-004_ses-01_run-02_T1w.nii.gz	sub-004	ses-01	02	sub-004_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-02_T1w.nii.gz	80.0	80.0	0.721928	10	8	Pizarro2023-FINAL	2026-07-22
sub-004_ses-01_run-03_T1w.nii.gz	sub-004	ses-01	03	sub-004_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-004_ses-02_run-01_T1w.nii.gz	sub-004	ses-02	01	sub-004_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-01_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-004_ses-02_run-02_T1w.nii.gz	sub-004	ses-02	02	sub-004_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-02_T1w.nii.gz	70.0	70.0	0.881291	10	7	Pizarro2023-FINAL	2026-07-22
sub-004_ses-02_run-03_T1w.nii.gz	sub-004	ses-02	03	sub-004_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-005_ses-01_run-01_T1w.nii.gz	sub-005	ses-01	01	sub-005_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-01_T1w.nii.gz	30.0	70.0	0.881291	10	3	Pizarro2023-FINAL	2026-07-22
sub-005_ses-01_run-02_T1w.nii.gz	sub-005	ses-01	02	sub-005_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.nii.gz	20.0	80.0	0.721928	10	2	Pizarro2023-FINAL	2026-07-22
sub-005_ses-01_run-03_T1w.nii.gz	sub-005	ses-01	03	sub-005_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-03_T1w.nii.gz	100.0	100.0	0.0	10	10	Pizarro2023-FINAL	2026-07-22
sub-005_ses-02_run-01_T1w.nii.gz	sub-005	ses-02	01	sub-005_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-01_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
sub-005_ses-02_run-02_T1w.nii.gz	sub-005	ses-02	02	sub-005_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-02_T1w.nii.gz	20.0	80.0	0.721928	10	2	Pizarro2023-FINAL	2026-07-22
sub-005_ses-02_run-03_T1w.nii.gz	sub-005	ses-02	03	sub-005_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-03_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
sub-006_ses-01_run-01_T1w.nii.gz	sub-006	ses-01	01	sub-006_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-01_T1w.nii.gz	70.0	70.0	0.881291	10	7	Pizarro2023-FINAL	2026-07-22
sub-006_ses-01_run-02_T1w.nii.gz	sub-006	ses-01	02	sub-006_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-02_T1w.nii.gz	40.0	60.0	0.970951	10	4	Pizarro2023-FINAL	2026-07-22
