action	src	dst
COPIED	/home/alexrees/scratch/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_bold.json	/home/alexrees/scratch/release_dataset/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_bold.json
COPIED	/home/alexrees/scratch/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_bold.nii.gz	/home/alexrees/scratch/release_dataset/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_bold.nii.gz
COPIED	/home/alexrees/scratch/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_events.json	/home/alexrees/scratch/release_dataset/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_events.json
COPIED	/home/alexrees/scratch/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_events.tsv
SKIP_SAME	/home/alexrees/scratch/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-pulse_physio.json	/home/alexrees/scratch/release_dataset/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-pulse_physio.json
SKIP_SAME	/home/alexrees/scratch/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-pulse_physio.tsv.gz	/home/alexrees/scratch/release_dataset/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-pulse_physio.tsv.gz
SKIP_SAME	/home/alexrees/scratch/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-respiratory_physio.json	/home/alexrees/scratch/release_dataset/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-respiratory_physio.json
SKIP_SAME	/home/alexrees/scratch/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-respiratory_physio.tsv.gz	/home/alexrees/scratch/release_dataset/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-respiratory_physio.tsv.gz
SKIP_SAME	/home/alexrees/scratch/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-trigger_physio.json	/home/alexrees/scratch/release_dataset/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-trigger_physio.json
SKIP_SAME	/home/alexrees/scratch/bids/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-trigger_physio.tsv.gz	/home/alexrees/scratch/release_dataset/sub-024/ses-01/func/sub-024_ses-01_task-fmri_run-07_recording-trigger_physio.tsv.gz
COPIED	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_bold.json	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_bold.json
COPIED	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_bold.nii.gz	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_bold.nii.gz
SKIP_SAME	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_part-phase_sbref.json	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_part-phase_sbref.json
SKIP_SAME	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_part-phase_sbref.nii.gz	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_part-phase_sbref.nii.gz
SKIP_SAME	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-pulse_physio.json	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-pulse_physio.json
SKIP_SAME	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-pulse_physio.tsv.gz	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-pulse_physio.tsv.gz
SKIP_SAME	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-respiratory_physio.json	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-respiratory_physio.json
SKIP_SAME	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-respiratory_physio.tsv.gz	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-respiratory_physio.tsv.gz
SKIP_SAME	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-trigger_physio.json	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-trigger_physio.json
SKIP_SAME	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-trigger_physio.tsv.gz	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_recording-trigger_physio.tsv.gz
SKIP_SAME	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_sbref.json	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_sbref.json
SKIP_SAME	/home/alexrees/scratch/bids/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_sbref.nii.gz	/home/alexrees/scratch/release_dataset/sub-047/ses-01/func/sub-047_ses-01_task-fmri_run-03_sbref.nii.gz
COPIED	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_events.tsv	/home/alexrees/scratch/release_dataset/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_events.tsv
COPIED	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_events.json	/home/alexrees/scratch/release_dataset/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_events.json
COPIED	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_events.tsv
COPIED	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_events.json
COPIED	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_events.tsv
COPIED	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_events.json	/home/alexrees/scratch/release_dataset/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_events.json
COPIED	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_events.tsv	/home/alexrees/scratch/release_dataset/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_events.tsv
COPIED	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_events.json	/home/alexrees/scratch/release_dataset/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_events.json
COPIED	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-05_events.tsv
COPIED	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-05_events.json
COPIED	/home/alexrees/scratch/bids/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_events.tsv	/home/alexrees/scratch/release_dataset/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_events.tsv
COPIED	/home/alexrees/scratch/bids/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_events.json	/home/alexrees/scratch/release_dataset/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_events.json
COPIED	/home/alexrees/scratch/bids/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_events.tsv
COPIED	/home/alexrees/scratch/bids/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_events.json
COPIED	/home/alexrees/scratch/bids/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_events.tsv	/home/alexrees/scratch/release_dataset/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_events.tsv
COPIED	/home/alexrees/scratch/bids/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_events.json	/home/alexrees/scratch/release_dataset/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_events.json
