subject	session	original_T1_exists	defaced_T1_exists	status
sub-001	ses-01	True	True	PASS
sub-001	ses-01	True	True	PASS
sub-001	ses-01	True	True	PASS
sub-001	ses-02	True	True	PASS
sub-001	ses-02	True	True	PASS
sub-001	ses-02	True	True	PASS
sub-002	ses-01	True	True	PASS
sub-002	ses-01	True	True	PASS
sub-002	ses-01	True	True	PASS
sub-002	ses-02	True	True	PASS
sub-002	ses-02	True	True	PASS
sub-002	ses-02	True	True	PASS
sub-003	ses-01	True	True	PASS
sub-003	ses-01	True	True	PASS
sub-003	ses-01	True	True	PASS
sub-003	ses-02	True	True	PASS
sub-003	ses-02	True	True	PASS
sub-003	ses-02	True	True	PASS
sub-004	ses-01	True	True	PASS
sub-004	ses-01	True	True	PASS
sub-004	ses-01	True	True	PASS
sub-004	ses-02	True	True	PASS
sub-004	ses-02	True	True	PASS
sub-004	ses-02	True	True	PASS
sub-005	ses-01	True	True	PASS
sub-005	ses-01	True	True	PASS
sub-005	ses-01	True	True	PASS
sub-005	ses-02	True	True	PASS
sub-005	ses-02	True	True	PASS
sub-005	ses-02	True	True	PASS
sub-006	ses-01	True	True	PASS
sub-006	ses-01	True	True	PASS
sub-006	ses-01	True	True	PASS
sub-006	ses-02	True	True	PASS
sub-006	ses-02	True	True	PASS
sub-006	ses-02	True	True	PASS
sub-007	ses-01	True	True	PASS
sub-007	ses-01	True	True	PASS
sub-007	ses-01	True	True	PASS
sub-007	ses-02	True	True	PASS
sub-007	ses-02	True	True	PASS
sub-007	ses-02	True	True	PASS
sub-008	ses-01	True	True	PASS
sub-008	ses-01	True	True	PASS
sub-008	ses-01	True	True	PASS
sub-008	ses-02	True	True	PASS
sub-008	ses-02	True	True	PASS
sub-008	ses-02	True	True	PASS
sub-009	ses-01	True	True	PASS
sub-009	ses-01	True	True	PASS
sub-009	ses-01	True	True	PASS
sub-009	ses-02	True	True	PASS
sub-009	ses-02	True	True	PASS
sub-009	ses-02	True	True	PASS
sub-010	ses-01	True	True	PASS
sub-010	ses-01	True	True	PASS
sub-010	ses-01	True	True	PASS
sub-011	ses-01	True	True	PASS
sub-011	ses-01	True	True	PASS
sub-011	ses-01	True	True	PASS
sub-011	ses-02	True	True	PASS
sub-011	ses-02	True	True	PASS
sub-011	ses-02	True	True	PASS
sub-012	ses-01	True	True	PASS
sub-012	ses-01	True	True	PASS
sub-012	ses-01	True	True	PASS
sub-012	ses-02	True	True	PASS
sub-012	ses-02	True	True	PASS
sub-012	ses-02	True	True	PASS
sub-013	ses-01	True	True	PASS
sub-013	ses-01	True	True	PASS
sub-013	ses-01	True	True	PASS
sub-014	ses-01	True	True	PASS
sub-014	ses-01	True	True	PASS
sub-014	ses-01	True	True	PASS
sub-015	ses-01	True	True	PASS
sub-015	ses-01	True	True	PASS
sub-015	ses-01	True	True	PASS
sub-015	ses-02	True	True	PASS
sub-015	ses-02	True	True	PASS
sub-015	ses-02	True	True	PASS
sub-016	ses-01	True	True	PASS
sub-016	ses-01	True	True	PASS
sub-016	ses-01	True	True	PASS
sub-016	ses-02	True	True	PASS
sub-016	ses-02	True	True	PASS
sub-016	ses-02	True	True	PASS
sub-017	ses-01	True	True	PASS
sub-017	ses-01	True	True	PASS
sub-017	ses-01	True	True	PASS
sub-017	ses-02	True	True	PASS
sub-017	ses-02	True	True	PASS
sub-017	ses-02	True	True	PASS
sub-018	ses-01	True	True	PASS
sub-018	ses-01	True	True	PASS
sub-019	ses-01	True	True	PASS
sub-019	ses-01	True	True	PASS
sub-019	ses-01	True	True	PASS
sub-019	ses-02	True	True	PASS
sub-019	ses-02	True	True	PASS
sub-019	ses-02	True	True	PASS
sub-020	ses-01	True	True	PASS
sub-020	ses-01	True	True	PASS
sub-020	ses-01	True	True	PASS
sub-021	ses-01	True	True	PASS
sub-021	ses-01	True	True	PASS
sub-021	ses-01	True	True	PASS
sub-021	ses-02	True	True	PASS
sub-021	ses-02	True	True	PASS
sub-021	ses-02	True	True	PASS
sub-022	ses-01	True	True	PASS
sub-022	ses-01	True	True	PASS
sub-022	ses-02	True	True	PASS
sub-022	ses-02	True	True	PASS
sub-022	ses-02	True	True	PASS
sub-023	ses-01	True	True	PASS
sub-023	ses-01	True	True	PASS
sub-023	ses-01	True	True	PASS
sub-023	ses-02	True	True	PASS
sub-023	ses-02	True	True	PASS
sub-023	ses-02	True	True	PASS
sub-024	ses-01	True	True	PASS
sub-024	ses-02	True	True	PASS
sub-024	ses-02	True	True	PASS
sub-024	ses-02	True	True	PASS
sub-025	ses-01	True	True	PASS
sub-025	ses-01	True	True	PASS
sub-025	ses-01	True	True	PASS
sub-025	ses-02	True	True	PASS
sub-025	ses-02	True	True	PASS
sub-025	ses-02	True	True	PASS
sub-026	ses-01	True	True	PASS
sub-026	ses-01	True	True	PASS
sub-026	ses-01	True	True	PASS
sub-026	ses-02	True	True	PASS
sub-026	ses-02	True	True	PASS
sub-026	ses-02	True	True	PASS
sub-027	ses-01	True	True	PASS
sub-027	ses-01	True	True	PASS
sub-027	ses-01	True	True	PASS
sub-027	ses-02	True	True	PASS
sub-027	ses-02	True	True	PASS
sub-027	ses-02	True	True	PASS
sub-028	ses-01	True	True	PASS
sub-028	ses-01	True	True	PASS
sub-028	ses-01	True	True	PASS
sub-028	ses-02	True	True	PASS
sub-028	ses-02	True	True	PASS
sub-028	ses-02	True	True	PASS
sub-029	ses-01	True	True	PASS
sub-029	ses-01	True	True	PASS
sub-029	ses-01	True	True	PASS
sub-029	ses-02	True	True	PASS
sub-029	ses-02	True	True	PASS
sub-029	ses-02	True	True	PASS
sub-030	ses-01	True	True	PASS
sub-030	ses-01	True	True	PASS
sub-030	ses-01	True	True	PASS
sub-030	ses-02	True	True	PASS
sub-030	ses-02	True	True	PASS
sub-030	ses-02	True	True	PASS
sub-031	ses-01	True	True	PASS
sub-031	ses-01	True	True	PASS
sub-031	ses-01	True	True	PASS
sub-031	ses-02	True	True	PASS
sub-031	ses-02	True	True	PASS
sub-031	ses-02	True	True	PASS
sub-032	ses-01	True	True	PASS
sub-032	ses-01	True	True	PASS
sub-032	ses-01	True	True	PASS
sub-033	ses-01	True	True	PASS
sub-033	ses-01	True	True	PASS
sub-034	ses-01	True	True	PASS
sub-034	ses-01	True	True	PASS
sub-034	ses-01	True	True	PASS
sub-034	ses-02	True	True	PASS
sub-034	ses-02	True	True	PASS
sub-034	ses-02	True	True	PASS
sub-035	ses-01	True	True	PASS
sub-035	ses-01	True	True	PASS
sub-035	ses-01	True	True	PASS
sub-035	ses-02	True	True	PASS
sub-035	ses-02	True	True	PASS
sub-035	ses-02	True	True	PASS
sub-036	ses-01	True	True	PASS
sub-036	ses-01	True	True	PASS
sub-036	ses-01	True	True	PASS
sub-036	ses-02	True	True	PASS
sub-036	ses-02	True	True	PASS
sub-036	ses-02	True	True	PASS
sub-037	ses-01	True	True	PASS
sub-037	ses-01	True	True	PASS
sub-037	ses-01	True	True	PASS
sub-038	ses-01	True	True	PASS
sub-038	ses-01	True	True	PASS
sub-038	ses-01	True	True	PASS
sub-038	ses-02	True	True	PASS
sub-038	ses-02	True	True	PASS
sub-038	ses-02	True	True	PASS
sub-039	ses-01	True	True	PASS
sub-039	ses-01	True	True	PASS
sub-039	ses-01	True	True	PASS
sub-039	ses-02	True	True	PASS
sub-039	ses-02	True	True	PASS
sub-039	ses-02	True	True	PASS
sub-040	ses-01	True	True	PASS
sub-040	ses-01	True	True	PASS
sub-040	ses-01	True	True	PASS
sub-040	ses-02	True	True	PASS
sub-040	ses-02	True	True	PASS
sub-040	ses-02	True	True	PASS
sub-041	ses-01	True	True	PASS
sub-041	ses-01	True	True	PASS
sub-041	ses-01	True	True	PASS
sub-041	ses-02	True	True	PASS
sub-041	ses-02	True	True	PASS
sub-041	ses-02	True	True	PASS
sub-042	ses-01	True	True	PASS
sub-042	ses-01	True	True	PASS
sub-042	ses-01	True	True	PASS
sub-043	ses-02	True	True	PASS
sub-043	ses-02	True	True	PASS
sub-043	ses-02	True	True	PASS
sub-043	ses-02	True	True	PASS
sub-043	ses-02	True	True	PASS
sub-043	ses-02	True	True	PASS
sub-044	ses-01	True	True	PASS
sub-044	ses-01	True	True	PASS
sub-044	ses-01	True	True	PASS
sub-044	ses-02	True	True	PASS
sub-044	ses-02	True	True	PASS
sub-044	ses-02	True	True	PASS
sub-045	ses-01	True	True	PASS
sub-045	ses-01	True	True	PASS
sub-046	ses-01	True	True	PASS
sub-046	ses-01	True	True	PASS
sub-046	ses-01	True	True	PASS
sub-046	ses-02	True	True	PASS
sub-046	ses-02	True	True	PASS
sub-046	ses-02	True	True	PASS
sub-047	ses-01	True	True	PASS
sub-047	ses-01	True	True	PASS
sub-047	ses-01	True	True	PASS
sub-047	ses-02	True	True	PASS
sub-047	ses-02	True	True	PASS
sub-047	ses-02	True	True	PASS
sub-048	ses-01	True	True	PASS
sub-048	ses-01	True	True	PASS
sub-048	ses-01	True	True	PASS
sub-048	ses-02	True	True	PASS
sub-048	ses-02	True	True	PASS
sub-048	ses-02	True	True	PASS
sub-049	ses-01	True	True	PASS
sub-049	ses-01	True	True	PASS
sub-049	ses-01	True	True	PASS
sub-050	ses-01	True	True	PASS
sub-050	ses-01	True	True	PASS
sub-050	ses-01	True	True	PASS
sub-051	ses-01	True	True	PASS
sub-051	ses-01	True	True	PASS
sub-051	ses-01	True	True	PASS
sub-052	ses-01	True	True	PASS
sub-052	ses-01	True	True	PASS
sub-052	ses-02	True	True	PASS
sub-052	ses-02	True	True	PASS
sub-052	ses-02	True	True	PASS
sub-053	ses-01	True	True	PASS
sub-053	ses-01	True	True	PASS
sub-053	ses-01	True	True	PASS
sub-054	ses-01	True	True	PASS
sub-054	ses-01	True	True	PASS
sub-054	ses-02	True	True	PASS
sub-054	ses-02	True	True	PASS
sub-054	ses-02	True	True	PASS
sub-056	ses-01	True	True	PASS
sub-056	ses-01	True	True	PASS
sub-057	ses-01	True	True	PASS
sub-057	ses-01	True	True	PASS
sub-057	ses-01	True	True	PASS
sub-058	ses-01	True	True	PASS
sub-058	ses-01	True	True	PASS
sub-058	ses-01	True	True	PASS
sub-059	ses-01	True	True	PASS
sub-059	ses-01	True	True	PASS
sub-059	ses-01	True	True	PASS
sub-060	ses-01	True	True	PASS
sub-060	ses-01	True	True	PASS
sub-060	ses-01	True	True	PASS
sub-061	ses-01	True	True	PASS
sub-061	ses-01	True	True	PASS
sub-062	ses-01	True	True	PASS
sub-062	ses-01	True	True	PASS
sub-062	ses-01	True	True	PASS
sub-063	ses-01	True	True	PASS
sub-063	ses-01	True	True	PASS
sub-064	ses-01	True	True	PASS
sub-064	ses-01	True	True	PASS
sub-064	ses-01	True	True	PASS
sub-065	ses-01	True	True	PASS
sub-065	ses-01	True	True	PASS
sub-065	ses-01	True	True	PASS
sub-066	ses-01	True	True	PASS
sub-066	ses-01	True	True	PASS
sub-066	ses-01	True	True	PASS
sub-067	ses-01	True	True	PASS
sub-067	ses-01	True	True	PASS
sub-067	ses-01	True	True	PASS
sub-068	ses-01	True	True	PASS
sub-068	ses-01	True	True	PASS
sub-068	ses-01	True	True	PASS
sub-069	ses-01	True	True	PASS
sub-069	ses-01	True	True	PASS
sub-069	ses-01	True	True	PASS
sub-070	ses-01	True	True	PASS
sub-070	ses-01	True	True	PASS
sub-071	ses-01	True	True	PASS
sub-071	ses-01	True	True	PASS
sub-071	ses-01	True	True	PASS
sub-072	ses-01	True	True	PASS
sub-072	ses-01	True	True	PASS
sub-072	ses-01	True	True	PASS
sub-073	ses-01	True	True	PASS
sub-073	ses-01	True	True	PASS
sub-073	ses-01	True	True	PASS
sub-074	ses-01	True	True	PASS
sub-074	ses-01	True	True	PASS
sub-074	ses-01	True	True	PASS
sub-075	ses-01	True	True	PASS
sub-075	ses-01	True	True	PASS
sub-075	ses-01	True	True	PASS
sub-076	ses-01	True	True	PASS
sub-076	ses-01	True	True	PASS
sub-077	ses-01	True	True	PASS
sub-077	ses-01	True	True	PASS
sub-077	ses-01	True	True	PASS
sub-078	ses-01	True	True	PASS
sub-078	ses-01	True	True	PASS
sub-078	ses-01	True	True	PASS
sub-079	ses-01	True	True	PASS
sub-079	ses-01	True	True	PASS
sub-079	ses-01	True	True	PASS
sub-080	ses-01	True	True	PASS
sub-080	ses-01	True	True	PASS
sub-080	ses-01	True	True	PASS
sub-081	ses-01	True	True	PASS
sub-081	ses-01	True	True	PASS
sub-081	ses-01	True	True	PASS
sub-082	ses-01	True	True	PASS
sub-082	ses-01	True	True	PASS
sub-082	ses-01	True	True	PASS
sub-083	ses-01	True	True	PASS
sub-083	ses-01	True	True	PASS
sub-083	ses-01	True	True	PASS
sub-084	ses-01	True	True	PASS
sub-084	ses-01	True	True	PASS
sub-084	ses-01	True	True	PASS
