subject	session	release_relative_path	replacement_file	audit_status	release_present	size_match_defaced	size_differs_from_original	hash_match_defaced	status	notes
sub-001	ses-01	sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-001	ses-01	sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-001	ses-01	sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-001	ses-02	sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-001	ses-02	sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-001	ses-02	sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-002	ses-01	sub-002/ses-01/anat/sub-002_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-01/anat/sub-002_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-002	ses-01	sub-002/ses-01/anat/sub-002_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-01/anat/sub-002_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-002	ses-01	sub-002/ses-01/anat/sub-002_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-01/anat/sub-002_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-002	ses-02	sub-002/ses-02/anat/sub-002_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-02/anat/sub-002_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-002	ses-02	sub-002/ses-02/anat/sub-002_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-02/anat/sub-002_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-002	ses-02	sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-003	ses-01	sub-003/ses-01/anat/sub-003_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-01/anat/sub-003_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-003	ses-01	sub-003/ses-01/anat/sub-003_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-01/anat/sub-003_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-003	ses-01	sub-003/ses-01/anat/sub-003_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-01/anat/sub-003_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-003	ses-02	sub-003/ses-02/anat/sub-003_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-02/anat/sub-003_ses-02_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-003	ses-02	sub-003/ses-02/anat/sub-003_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-02/anat/sub-003_ses-02_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-003	ses-02	sub-003/ses-02/anat/sub-003_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-02/anat/sub-003_ses-02_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-004	ses-01	sub-004/ses-01/anat/sub-004_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-01/anat/sub-004_ses-01_run-01_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-004	ses-01	sub-004/ses-01/anat/sub-004_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-01/anat/sub-004_ses-01_run-02_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
sub-004	ses-01	sub-004/ses-01/anat/sub-004_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-01/anat/sub-004_ses-01_run-03_T1w.nii.gz	REPLACED	yes	yes	yes	yes	OK	
