variable	hypothesis_level	role	source_file	source_section	unit	definition	derivation	freesurfer_version	notes
subject	id	identifier	metadata/freesurfer_manifest.tsv; study/metadata/mriqc_iqm_physical_acquisition.tsv	subject_id	label	BIDS participant label (sub-XXX).	Copied from the FreeSurfer manifest; identical to subject_id.	7.4.1	Join key with the MRIQC physical-acquisition table.
subject_id	id	identifier	metadata/freesurfer_manifest.tsv	subject_id	label	Same value as subject; MRIQC column name.	Copied.	7.4.1	Provided so the anatomy table joins on subject_id without renaming.
session	id	identifier	metadata/freesurfer_manifest.tsv	session	label	BIDS session (ses-01 or ses-02).	Copied.	7.4.1	One FreeSurfer recon-all per subject×session.
cohort	M0	demographic	study/metadata/mriqc_iqm_physical_acquisition.tsv	cohort	label	Control, Glaucoma, Data_ON, or Data_TON.	Copied from the MRIQC table; not recomputed.	7.4.1	The MRIQC table is not modified.
age	M0	demographic	study/metadata/mriqc_iqm_physical_acquisition.tsv	age	years	Age used in the existing MRIQC mixed models.	Copied.	7.4.1	Must match within subject×session; extraction fails if it does not.
sex	M0	demographic	study/metadata/mriqc_iqm_physical_acquisition.tsv	sex	label	Sex used in the existing MRIQC mixed models.	Copied.	7.4.1	
freesurfer_id	provenance	identifier	metadata/freesurfer_manifest.tsv	freesurfer_id	label	SUBJECTS_DIR folder name (sub-XXX_ses-YY).	Copied.	7.4.1	Never a SUBC/SUBG HCP identifier.
freesurfer_version	QC	provenance	scripts/build-stamp.txt	first line	label	FreeSurfer build stamp of this recon-all.	Copied. Anatomy is extracted only if the stamp contains 7.4.1.	7.4.1	FreeSurfer 6.0.1 / HCP outputs are never used.
freesurfer_input_run	provenance	provenance	metadata/freesurfer_manifest.tsv	run	label	BIDS run of the T1w used as recon-all -i.	Copied.	7.4.1	Often the lowest T1w_MPR run (frequently non-NORM). The MRIQC table prefers NORM when a pair exists. Anatomy is session-level, not reconstruction-level.
freesurfer_input_t1w	provenance	provenance	metadata/freesurfer_manifest.tsv	t1w_path	path	Original bids/ T1w NIfTI passed to recon-all.	Copied.	7.4.1	Source T1w is not defaced; this is the 7.4.1 campaign input, not the release T1w.
processing_status	QC	qc_flag	scripts/recon-all.done; scripts/recon-all.log; scripts/IsRunning*	file presence	label	COMPLETED, FAILED, RUNNING/UNKNOWN, or NOT_STARTED.	COMPLETED only if scripts/recon-all.done contains SUBJECT and END_TIME. A stub done file (e.g. '1') with recon-all.error is FAILED.	7.4.1	Stricter than code/check_freesurfer_status.py, which treats any recon-all.done as complete. Failed rows are retained with missing anatomy. No Euler exclusion.
FS_success	QC	qc_flag	scripts/recon-all.done; scripts/build-stamp.txt	file presence + version	boolean	True if recon-all finished (valid done marker) and the build stamp contains 7.4.1.	processing_status==COMPLETED and version contains 7.4.1.	7.4.1	Does not imply every stats file is present. No automatic row drop.
aseg_stats_available	QC	qc_flag	stats/aseg.stats	file presence	boolean	True if aseg.stats exists.	Path.is_file().	7.4.1	
lh_aparc_stats_available	QC	qc_flag	stats/lh.aparc.stats	file presence	boolean	True if lh.aparc.stats (Desikan-Killiany) exists.	Path.is_file().	7.4.1	DKT and a2009s parcellations are not used.
rh_aparc_stats_available	QC	qc_flag	stats/rh.aparc.stats	file presence	boolean	True if rh.aparc.stats (Desikan-Killiany) exists.	Path.is_file().	7.4.1	
euler_available	QC	qc_flag	stats/aseg.stats	# Measure lhSurfaceHoles / rhSurfaceHoles	boolean	True if both Euler_L and Euler_R could be derived.	Both SurfaceHoles measures parse as finite numbers.	7.4.1	No Euler threshold is applied.
n_anatomy_missing	QC	qc_flag	derived		count	Number of anatomy value columns that are empty.	Count of empty ANATOMY_VALUE_COLUMNS.	7.4.1	Failed reconstructions typically miss all anatomy values.
missing_anatomy_variables	QC	qc_flag	derived		label_list	Semicolon-separated anatomy columns that are empty.	Join of empty ANATOMY_VALUE_COLUMNS names.	7.4.1	Empty string if none missing.
n_mriqc_physical_acq_in_session	join	join_note	study/metadata/mriqc_iqm_physical_acquisition.tsv	row count per subject×session	count	How many MRIQC physical-acquisition rows share this session.	Count of IQM rows with the same subject_id and session.	7.4.1	Equals 2 only for sub-043 ses-02. Anatomy stays one row per session.
Euler_L	M1	reconstruction_quality	stats/aseg.stats	# Measure lhSurfaceHoles	unitless	Left-hemisphere Euler number of the orig surface before topology fix.	Euler_L = 2 - 2 * lhSurfaceHoles. Matches mris_euler_number on surf/lh.orig.nofix.	7.4.1	Do not enter Euler_L, Euler_R, and Euler_mean in the same model. Primary M1 covariate is Euler_mean.
Euler_R	M1	reconstruction_quality	stats/aseg.stats	# Measure rhSurfaceHoles	unitless	Right-hemisphere Euler number before topology fix.	Euler_R = 2 - 2 * rhSurfaceHoles.	7.4.1	Secondary to Euler_mean. Not a default co-entered term.
Euler_mean	M1	primary_reconstruction_quality	stats/aseg.stats	lhSurfaceHoles and rhSurfaceHoles	unitless	Mean of left and right pre-fix Euler numbers.	(Euler_L + Euler_R) / 2.	7.4.1	Primary M1 covariate. A sphere has Euler 2; more negative values indicate more topological defects.
