subject	session	expected_t1w	mriqc_t1w	expected_bold	mriqc_bold	status	session_complete
sub-001	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-001	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-002	ses-01	3	3	13	12	PARTIAL	False
sub-002	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-003	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-003	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-004	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-004	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-005	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-005	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-006	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-006	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-007	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-007	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-008	ses-01	3	3	14	14	COMPLETE_BOTH	True
sub-008	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-009	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-009	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-010	ses-01	3	3	10	10	COMPLETE_BOTH	True
sub-011	ses-01	3	3	13	12	PARTIAL	False
sub-011	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-012	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-012	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-013	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-014	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-015	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-015	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-016	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-016	ses-02	3	3	13	13	COMPLETE_BOTH	True
sub-017	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-017	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-018	ses-01	2	2	12	12	COMPLETE_BOTH	True
sub-019	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-019	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-020	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-021	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-021	ses-02	3	3	13	13	COMPLETE_BOTH	True
sub-022	ses-01	2	2	12	12	COMPLETE_BOTH	True
sub-022	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-023	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-023	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-024	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-024	ses-02	3	3	14	14	COMPLETE_BOTH	True
sub-025	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-025	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-026	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-026	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-027	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-027	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-028	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-028	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-029	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-029	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-030	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-030	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-031	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-031	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-032	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-033	ses-01	2	2	12	12	COMPLETE_BOTH	True
sub-034	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-034	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-035	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-035	ses-02	3	3	13	13	COMPLETE_BOTH	True
sub-036	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-036	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-037	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-038	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-038	ses-02	3	3	13	13	COMPLETE_BOTH	True
sub-039	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-039	ses-02	3	2	12	12	PARTIAL	False
sub-040	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-040	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-041	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-041	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-042	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-043	ses-02	6	6	23	23	COMPLETE_BOTH	True
sub-044	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-044	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-045	ses-01	2	2	12	12	COMPLETE_BOTH	True
sub-046	ses-01	3	3	13	13	COMPLETE_BOTH	True
sub-046	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-047	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-047	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-048	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-048	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-049	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-049	ses-02	0	0	8	8	BOLD_ONLY	True
sub-050	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-051	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-052	ses-01	2	2	12	12	COMPLETE_BOTH	True
sub-052	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-053	ses-01	3	3	11	11	COMPLETE_BOTH	True
sub-054	ses-01	2	2	12	12	COMPLETE_BOTH	True
sub-054	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-055	ses-01	0	0	8	8	BOLD_ONLY	True
sub-056	ses-01	2	2	12	12	COMPLETE_BOTH	True
sub-057	ses-01	3	3	12	12	COMPLETE_BOTH	True
sub-057	ses-02	3	3	12	12	COMPLETE_BOTH	True
sub-058	ses-01	3	2	12	12	PARTIAL	False
sub-059	ses-01	3	3	12	12	COMPLETE_BOTH	True
