participant_id	session_id	run	bold_file	ProtocolName	SeriesNumber	TaskName	has_events	events_file	protocol_family	fmri_number	n_matlab_for_protocol	n_bold_same_protocol	n_twins_with_events	missing_reason
sub-002	ses-01	07	sub-002_ses-01_task-fmri_run-07_bold.nii.gz	fMRI1_AP	4	fmri	False		fMRI1	1	1	2	1	TWIN_OF_MAPPED_RUN
sub-011	ses-01	03	sub-011_ses-01_task-fmri_run-03_bold.nii.gz	fMRI4_AP	24	fmri	False		fMRI4	4	1	2	1	TWIN_OF_MAPPED_RUN
sub-011	ses-02	06	sub-011_ses-02_task-fmri_run-06_bold.nii.gz	fMRI1_AP	5	fmri	False		fMRI1	1	2	1	0	HAS_MATLAB_NOT_IN_FINAL_ACCEPT
sub-013	ses-01	07	sub-013_ses-01_task-fmri_run-07_bold.nii.gz	fMRI2_AP	7	fmri	False		fMRI2	2	0	1	0	NO_MATLAB_TRIGGERS
sub-016	ses-02	07	sub-016_ses-02_task-fmri_run-07_bold.nii.gz	fMRI1_AP	4	fmri	False		fMRI1	1	1	2	1	TWIN_OF_MAPPED_RUN
sub-023	ses-01	07	sub-023_ses-01_task-fmri_run-07_bold.nii.gz	fMRI1_AP	3	fmri	False		fMRI1	1	1	2	1	TWIN_OF_MAPPED_RUN
sub-024	ses-02	03	sub-024_ses-02_task-fmri_run-03_bold.nii.gz	fMRI2_AP_Rerun	20	fmri	False		fMRI2	2	1	1	0	HAS_MATLAB_NOT_IN_FINAL_ACCEPT
sub-025	ses-01	07	sub-025_ses-01_task-fmri_run-07_bold.nii.gz	fMRI1_AP	3	fmri	False		fMRI1	1	1	2	1	TWIN_OF_MAPPED_RUN
sub-032	ses-01	01	sub-032_ses-01_task-fmri_run-01_bold.nii.gz	fMRI3_AP	11	fmri	False		fMRI3	3	0	1	0	NO_MATLAB_TRIGGERS
sub-032	ses-01	03	sub-032_ses-01_task-fmri_run-03_bold.nii.gz	fMRI4_AP	15	fmri	False		fMRI4	4	0	1	0	NO_MATLAB_TRIGGERS
sub-038	ses-02	02	sub-038_ses-02_task-fmri_run-02_bold.nii.gz	fMRI3_AP	18	fmri	False		fMRI3	3	1	2	1	TWIN_OF_MAPPED_RUN
sub-041	ses-01	07	sub-041_ses-01_task-fmri_run-07_bold.nii.gz	fMRI1_AP	4	fmri	False		fMRI1	1	2	1	0	FINAL_REJECT:INCOMPLETE_ACQUISITION_ABORT
sub-043	ses-02	01	sub-043_ses-02_task-fmri_run-01_bold.nii.gz	fMRI3_AP	15	fmri	False		fMRI3	3	1	2	1	TWIN_OF_MAPPED_RUN
sub-043	ses-02	05	sub-043_ses-02_task-fmri_run-05_bold.nii.gz	fMRI4_AP	19	fmri	False		fMRI4	4	1	2	1	TWIN_OF_MAPPED_RUN
sub-043	ses-02	11	sub-043_ses-02_task-fmri_run-11_bold.nii.gz	fMRI2_AP	7	fmri	False		fMRI2	2	1	2	1	TWIN_OF_MAPPED_RUN
sub-046	ses-01	07	sub-046_ses-01_task-fmri_run-07_bold.nii.gz	fMRI1_AP	3	fmri	False		fMRI1	1	1	2	0	INTEGRATION_HELD:REVIEW:TRIGGER_VOLUME_MISMATCH triggers=226 volumes=219
sub-046	ses-01	09	sub-046_ses-01_task-fmri_run-09_bold.nii.gz	fMRI1_AP	7	fmri	False		fMRI1	1	1	2	0	AMBIGUOUS_PROTOCOL_TWINS_UNRESOLVED
sub-047	ses-01	01	sub-047_ses-01_task-fmri_run-01_bold.nii.gz	fMRI3_AP	15	fmri	False		fMRI3	3	0	1	0	NO_MATLAB_TRIGGERS
sub-047	ses-01	03	sub-047_ses-01_task-fmri_run-03_bold.nii.gz	fMRI4_AP	19	fmri	False		fMRI4	4	0	1	0	NO_MATLAB_TRIGGERS
sub-047	ses-01	05	sub-047_ses-01_task-fmri_run-05_bold.nii.gz	fMRI1_AP	3	fmri	False		fMRI1	1	0	1	0	NO_MATLAB_TRIGGERS
sub-047	ses-01	07	sub-047_ses-01_task-fmri_run-07_bold.nii.gz	fMRI2_AP	7	fmri	False		fMRI2	2	0	1	0	NO_MATLAB_TRIGGERS
sub-051	ses-01	01	sub-051_ses-01_task-fmri_run-01_bold.nii.gz	fMRI3_AP	15	fmri	False		fMRI3	3	0	1	0	NO_MATLAB_TRIGGERS
sub-051	ses-01	03	sub-051_ses-01_task-fmri_run-03_bold.nii.gz	fMRI4_AP	19	fmri	False		fMRI4	4	0	1	0	NO_MATLAB_TRIGGERS
sub-051	ses-01	05	sub-051_ses-01_task-fmri_run-05_bold.nii.gz	fMRI1_AP	3	fmri	False		fMRI1	1	0	1	0	NO_MATLAB_TRIGGERS
sub-051	ses-01	07	sub-051_ses-01_task-fmri_run-07_bold.nii.gz	fMRI2_AP	7	fmri	False		fMRI2	2	0	1	0	NO_MATLAB_TRIGGERS
sub-057	ses-02	01	sub-057_ses-02_task-fmri_run-01_bold.nii.gz	fMRI3_AP	15	fmri	False		fMRI3	3	0	1	0	NO_MATLAB_TRIGGERS
sub-057	ses-02	03	sub-057_ses-02_task-fmri_run-03_bold.nii.gz	fMRI4_AP	19	fmri	False		fMRI4	4	0	1	0	NO_MATLAB_TRIGGERS
sub-057	ses-02	05	sub-057_ses-02_task-fmri_run-05_bold.nii.gz	fMRI1_AP	3	fmri	False		fMRI1	1	0	1	0	NO_MATLAB_TRIGGERS
sub-057	ses-02	07	sub-057_ses-02_task-fmri_run-07_bold.nii.gz	fMRI2_AP	7	fmri	False		fMRI2	2	0	1	0	NO_MATLAB_TRIGGERS
sub-061	ses-01	05	sub-061_ses-01_task-fmri_run-05_bold.nii.gz	fMRI1_AP	3	fmri	False		fMRI1	1	1	2	1	TWIN_OF_MAPPED_RUN
sub-078	ses-01	01	sub-078_ses-01_task-fmri_run-01_bold.nii.gz	fMRI3_AP	15	fmri	False		fMRI3	3	0	1	0	NO_MATLAB_TRIGGERS
sub-078	ses-01	03	sub-078_ses-01_task-fmri_run-03_bold.nii.gz	fMRI4_AP	19	fmri	False		fMRI4	4	0	1	0	NO_MATLAB_TRIGGERS
sub-078	ses-01	05	sub-078_ses-01_task-fmri_run-05_bold.nii.gz	fMRI1_AP	3	fmri	False		fMRI1	1	0	1	0	NO_MATLAB_TRIGGERS
sub-078	ses-01	07	sub-078_ses-01_task-fmri_run-07_bold.nii.gz	fMRI2_AP	7	fmri	False		fMRI2	2	0	1	0	NO_MATLAB_TRIGGERS
sub-081	ses-02	01	sub-081_ses-02_task-fmri_run-01_bold.nii.gz	fMRI1_AP	34	fmri	False		fMRI1	1	0	1	0	NO_MATLAB_TRIGGERS
sub-081	ses-02	03	sub-081_ses-02_task-fmri_run-03_bold.nii.gz	fMRI2_AP	36	fmri	False		fMRI2	2	0	1	0	NO_MATLAB_TRIGGERS
sub-081	ses-02	05	sub-081_ses-02_task-fmri_run-05_bold.nii.gz	fMRI3_AP	38	fmri	False		fMRI3	3	0	1	0	NO_MATLAB_TRIGGERS
sub-081	ses-02	07	sub-081_ses-02_task-fmri_run-07_bold.nii.gz	fMRI4_AP	40	fmri	False		fMRI4	4	0	1	0	NO_MATLAB_TRIGGERS
sub-083	ses-01	07	sub-083_ses-01_task-fmri_run-07_bold.nii.gz	fMRI1_AP	3	fmri	False		fMRI1	1	1	2	1	TWIN_OF_MAPPED_RUN
