subject	session	T1w	FLAIR	REST	MOVIE1	MOVIE2	MOVIE3	MOVIE4	TASK1	TASK2	TASK3	TASK4	DWI	FIELDMAP	PHYSIO_AVAILABLE	EYETRACK_AVAILABLE
sub-001	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-001	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-002	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-002	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-003	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-003	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-004	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-004	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	MISSING
sub-005	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-005	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-006	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-006	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-007	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-007	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-008	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-008	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-009	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-009	ses-02	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-010	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	MISSING	MISSING	MISSING	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
sub-011	ses-01	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT
