action	src	dst
WOULD_COPY	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_events.tsv	/home/alexrees/scratch/release_dataset/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_events.json	/home/alexrees/scratch/release_dataset/sub-002/ses-01/func/sub-002_ses-01_task-fmri_run-09_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-05_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_events.json	/home/alexrees/scratch/release_dataset/sub-011/ses-01/func/sub-011_ses-01_task-fmri_run-07_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_events.tsv	/home/alexrees/scratch/release_dataset/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_events.json	/home/alexrees/scratch/release_dataset/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-03_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-05_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-012/ses-01/func/sub-012_ses-01_task-fmri_run-05_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_events.tsv	/home/alexrees/scratch/release_dataset/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_events.json	/home/alexrees/scratch/release_dataset/sub-016/ses-02/func/sub-016_ses-02_task-fmri_run-09_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-020/ses-01/func/sub-020_ses-01_task-fmri_run-05_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_events.tsv	/home/alexrees/scratch/release_dataset/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_events.json	/home/alexrees/scratch/release_dataset/sub-023/ses-01/func/sub-023_ses-01_task-fmri_run-09_events.json
SKIP_NO_RELEASE_BOLD	sub-024_ses-01_task-fmri_run-07	
WOULD_COPY	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-01_events.tsv	/home/alexrees/scratch/release_dataset/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-01_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-01_events.json	/home/alexrees/scratch/release_dataset/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-01_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-07_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-07_events.json	/home/alexrees/scratch/release_dataset/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-07_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-11_events.tsv	/home/alexrees/scratch/release_dataset/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-11_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-11_events.json	/home/alexrees/scratch/release_dataset/sub-024/ses-02/func/sub-024_ses-02_task-fmri_run-11_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-025/ses-01/func/sub-025_ses-01_task-fmri_run-09_events.tsv	/home/alexrees/scratch/release_dataset/sub-025/ses-01/func/sub-025_ses-01_task-fmri_run-09_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-025/ses-01/func/sub-025_ses-01_task-fmri_run-09_events.json	/home/alexrees/scratch/release_dataset/sub-025/ses-01/func/sub-025_ses-01_task-fmri_run-09_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-04_events.tsv	/home/alexrees/scratch/release_dataset/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-04_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-04_events.json	/home/alexrees/scratch/release_dataset/sub-038/ses-02/func/sub-038_ses-02_task-fmri_run-04_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-07_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-07_events.json	/home/alexrees/scratch/release_dataset/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-07_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-09_events.tsv	/home/alexrees/scratch/release_dataset/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-09_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-09_events.json	/home/alexrees/scratch/release_dataset/sub-040/ses-01/func/sub-040_ses-01_task-fmri_run-09_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-041/ses-01/func/sub-041_ses-01_task-fmri_run-09_events.tsv	/home/alexrees/scratch/release_dataset/sub-041/ses-01/func/sub-041_ses-01_task-fmri_run-09_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-041/ses-01/func/sub-041_ses-01_task-fmri_run-09_events.json	/home/alexrees/scratch/release_dataset/sub-041/ses-01/func/sub-041_ses-01_task-fmri_run-09_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-02_events.tsv	/home/alexrees/scratch/release_dataset/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-02_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-02_events.json	/home/alexrees/scratch/release_dataset/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-02_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-06_events.tsv	/home/alexrees/scratch/release_dataset/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-06_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-06_events.json	/home/alexrees/scratch/release_dataset/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-06_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-12_events.tsv	/home/alexrees/scratch/release_dataset/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-12_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-12_events.json	/home/alexrees/scratch/release_dataset/sub-043/ses-02/func/sub-043_ses-02_task-fmri_run-12_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-061/ses-01/func/sub-061_ses-01_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-061/ses-01/func/sub-061_ses-01_task-fmri_run-07_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-061/ses-01/func/sub-061_ses-01_task-fmri_run-07_events.json	/home/alexrees/scratch/release_dataset/sub-061/ses-01/func/sub-061_ses-01_task-fmri_run-07_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-01_events.tsv	/home/alexrees/scratch/release_dataset/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-01_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-01_events.json	/home/alexrees/scratch/release_dataset/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-01_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-03_events.tsv	/home/alexrees/scratch/release_dataset/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-03_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-03_events.json	/home/alexrees/scratch/release_dataset/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-03_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-05_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-05_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-07_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-07_events.json	/home/alexrees/scratch/release_dataset/sub-064/ses-02/func/sub-064_ses-02_task-fmri_run-07_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-01_events.tsv	/home/alexrees/scratch/release_dataset/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-01_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-01_events.json	/home/alexrees/scratch/release_dataset/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-01_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-03_events.tsv	/home/alexrees/scratch/release_dataset/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-03_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-03_events.json	/home/alexrees/scratch/release_dataset/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-03_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-05_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-05_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-07_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-07_events.json	/home/alexrees/scratch/release_dataset/sub-066/ses-02/func/sub-066_ses-02_task-fmri_run-07_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-01_events.tsv	/home/alexrees/scratch/release_dataset/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-01_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-01_events.json	/home/alexrees/scratch/release_dataset/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-01_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-03_events.tsv	/home/alexrees/scratch/release_dataset/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-03_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-03_events.json	/home/alexrees/scratch/release_dataset/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-03_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-05_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-05_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-07_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-07_events.json	/home/alexrees/scratch/release_dataset/sub-067/ses-02/func/sub-067_ses-02_task-fmri_run-07_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-01_events.tsv	/home/alexrees/scratch/release_dataset/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-01_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-01_events.json	/home/alexrees/scratch/release_dataset/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-01_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-03_events.tsv	/home/alexrees/scratch/release_dataset/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-03_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-03_events.json	/home/alexrees/scratch/release_dataset/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-03_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-05_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-05_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-07_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-07_events.json	/home/alexrees/scratch/release_dataset/sub-068/ses-02/func/sub-068_ses-02_task-fmri_run-07_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-01_events.tsv	/home/alexrees/scratch/release_dataset/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-01_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-01_events.json	/home/alexrees/scratch/release_dataset/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-01_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-03_events.tsv	/home/alexrees/scratch/release_dataset/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-03_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-03_events.json	/home/alexrees/scratch/release_dataset/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-03_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-05_events.tsv	/home/alexrees/scratch/release_dataset/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-05_events.tsv
WOULD_COPY	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-05_events.json	/home/alexrees/scratch/release_dataset/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-05_events.json
WOULD_COPY	/home/alexrees/scratch/bids/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-07_events.tsv	/home/alexrees/scratch/release_dataset/sub-069/ses-02/func/sub-069_ses-02_task-fmri_run-07_events.tsv
