scan_id	subject	session	run	nifti_present	bval_present	bvec_present	json_present	n_volumes	n_bvals	n_bvecs	volumes_match	bvals_match	bvecs_match	duplicate_nifti	inventory_status	consistency_status	integrity_status
sub-001_ses-01_run-01_dwi	sub-001	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-001_ses-01_run-02_dwi	sub-001	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-001_ses-01_run-05_dwi	sub-001	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-001_ses-02_run-01_dwi	sub-001	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-001_ses-02_run-02_dwi	sub-001	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-001_ses-02_run-05_dwi	sub-001	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-002_ses-01_run-01_dwi	sub-002	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-002_ses-01_run-02_dwi	sub-002	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-002_ses-01_run-05_dwi	sub-002	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-002_ses-02_run-01_dwi	sub-002	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-002_ses-02_run-02_dwi	sub-002	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-002_ses-02_run-05_dwi	sub-002	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-003_ses-01_run-01_dwi	sub-003	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-003_ses-01_run-02_dwi	sub-003	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-003_ses-01_run-05_dwi	sub-003	ses-01	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-003_ses-02_run-01_dwi	sub-003	ses-02	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-003_ses-02_run-02_dwi	sub-003	ses-02	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-003_ses-02_run-05_dwi	sub-003	ses-02	run-05	True	True	True	True	15	15	15	True	True	True	False	OK	PASS	PASS
sub-004_ses-01_run-01_dwi	sub-004	ses-01	run-01	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
sub-004_ses-01_run-02_dwi	sub-004	ses-01	run-02	True	True	True	True	385	385	385	True	True	True	False	OK	PASS	PASS
