subject	session	bids	exp_t1w	mriqc_t1w	exp_bold	mriqc_bold	miss_t1w	miss_bold	html	status	missing_t1w	missing_bold
sub-057	ses-02	True	3	0	12	0	3	12	0	MRIQC_NONE	sub-057_ses-02_run-01_T1w;sub-057_ses-02_run-02_T1w;sub-057_ses-02_run-03_T1w	sub-057_ses-02_task-control_run-01_bold;sub-057_ses-02_task-control_run-03_bold;sub-057_ses-02_task-control_run-05_bold;sub-057_ses-02_task-fmri_run-01_bold;sub-057_ses-02_task-fmri_run-03_bold;sub-057_ses-02_task-fmri_run-05_bold;sub-057_ses-02_task-fmri_run-07_bold;sub-057_ses-02_task-movie_run-01_bold
sub-064	ses-02	True	2	0	12	0	2	12	0	MRIQC_NONE	sub-064_ses-02_run-01_T1w;sub-064_ses-02_run-02_T1w	sub-064_ses-02_task-control_run-01_bold;sub-064_ses-02_task-control_run-03_bold;sub-064_ses-02_task-control_run-05_bold;sub-064_ses-02_task-fmri_run-01_bold;sub-064_ses-02_task-fmri_run-03_bold;sub-064_ses-02_task-fmri_run-05_bold;sub-064_ses-02_task-fmri_run-07_bold;sub-064_ses-02_task-movie_run-01_bold
sub-066	ses-02	True	3	0	12	0	3	12	0	MRIQC_NONE	sub-066_ses-02_run-01_T1w;sub-066_ses-02_run-02_T1w;sub-066_ses-02_run-03_T1w	sub-066_ses-02_task-control_run-01_bold;sub-066_ses-02_task-control_run-03_bold;sub-066_ses-02_task-control_run-05_bold;sub-066_ses-02_task-fmri_run-01_bold;sub-066_ses-02_task-fmri_run-03_bold;sub-066_ses-02_task-fmri_run-05_bold;sub-066_ses-02_task-fmri_run-07_bold;sub-066_ses-02_task-movie_run-01_bold
sub-067	ses-02	True	3	0	12	0	3	12	0	MRIQC_NONE	sub-067_ses-02_run-01_T1w;sub-067_ses-02_run-02_T1w;sub-067_ses-02_run-03_T1w	sub-067_ses-02_task-control_run-01_bold;sub-067_ses-02_task-control_run-03_bold;sub-067_ses-02_task-control_run-05_bold;sub-067_ses-02_task-fmri_run-01_bold;sub-067_ses-02_task-fmri_run-03_bold;sub-067_ses-02_task-fmri_run-05_bold;sub-067_ses-02_task-fmri_run-07_bold;sub-067_ses-02_task-movie_run-01_bold
sub-068	ses-02	True	3	0	12	0	3	12	0	MRIQC_NONE	sub-068_ses-02_run-01_T1w;sub-068_ses-02_run-02_T1w;sub-068_ses-02_run-03_T1w	sub-068_ses-02_task-control_run-01_bold;sub-068_ses-02_task-control_run-03_bold;sub-068_ses-02_task-control_run-05_bold;sub-068_ses-02_task-fmri_run-01_bold;sub-068_ses-02_task-fmri_run-03_bold;sub-068_ses-02_task-fmri_run-05_bold;sub-068_ses-02_task-fmri_run-07_bold;sub-068_ses-02_task-movie_run-01_bold
sub-069	ses-02	True	3	0	12	0	3	12	0	MRIQC_NONE	sub-069_ses-02_run-01_T1w;sub-069_ses-02_run-02_T1w;sub-069_ses-02_run-03_T1w	sub-069_ses-02_task-control_run-01_bold;sub-069_ses-02_task-control_run-03_bold;sub-069_ses-02_task-control_run-05_bold;sub-069_ses-02_task-fmri_run-01_bold;sub-069_ses-02_task-fmri_run-03_bold;sub-069_ses-02_task-fmri_run-05_bold;sub-069_ses-02_task-fmri_run-07_bold;sub-069_ses-02_task-movie_run-01_bold
sub-072	ses-02	True	3	0	12	0	3	12	0	MRIQC_NONE	sub-072_ses-02_run-01_T1w;sub-072_ses-02_run-02_T1w;sub-072_ses-02_run-03_T1w	sub-072_ses-02_task-control_run-01_bold;sub-072_ses-02_task-control_run-03_bold;sub-072_ses-02_task-control_run-05_bold;sub-072_ses-02_task-fmri_run-01_bold;sub-072_ses-02_task-fmri_run-03_bold;sub-072_ses-02_task-fmri_run-05_bold;sub-072_ses-02_task-fmri_run-07_bold;sub-072_ses-02_task-movie_run-01_bold
sub-073	ses-02	True	3	0	12	0	3	12	0	MRIQC_NONE	sub-073_ses-02_run-01_T1w;sub-073_ses-02_run-02_T1w;sub-073_ses-02_run-03_T1w	sub-073_ses-02_task-control_run-01_bold;sub-073_ses-02_task-control_run-03_bold;sub-073_ses-02_task-control_run-05_bold;sub-073_ses-02_task-fmri_run-01_bold;sub-073_ses-02_task-fmri_run-03_bold;sub-073_ses-02_task-fmri_run-05_bold;sub-073_ses-02_task-fmri_run-07_bold;sub-073_ses-02_task-movie_run-01_bold
sub-074	ses-02	True	3	0	11	0	3	11	0	MRIQC_NONE	sub-074_ses-02_run-01_T1w;sub-074_ses-02_run-02_T1w;sub-074_ses-02_run-03_T1w	sub-074_ses-02_task-control_run-01_bold;sub-074_ses-02_task-control_run-03_bold;sub-074_ses-02_task-fmri_run-01_bold;sub-074_ses-02_task-fmri_run-03_bold;sub-074_ses-02_task-fmri_run-05_bold;sub-074_ses-02_task-fmri_run-07_bold;sub-074_ses-02_task-movie_run-01_bold;sub-074_ses-02_task-movie_run-03_bold
sub-078	ses-02	True	0	0	6	0	0	6	0	MRIQC_NONE		sub-078_ses-02_task-control_run-01_bold;sub-078_ses-02_task-fmri_run-01_bold;sub-078_ses-02_task-fmri_run-03_bold;sub-078_ses-02_task-fmri_run-05_bold;sub-078_ses-02_task-fmri_run-07_bold;sub-078_ses-02_task-movie_run-01_bold
